시도명,시군구명, 사업장 수(1종) , 사업장 수(2종) , 사업장 수(3종) , 배출구 수(1종) , 배출구 수(2종) , 배출구 수(3종) , 방지시설 수(1종) , 방지시설 수(2종) , 방지시설 수(3종) , 배출시설 수(1종) , 배출시설 수(2종) , 배출시설 수(3종) 
충청남도,당진군,1,0,0,22,0,0,22,0,0,32,0,0
충청남도,당진시,24,17,24,763,301,393,753,287,314,2068,784,1501
충청남도,보령시,6,4,1,189,47,5,180,57,5,345,303,13
충청남도,부여군,2,1,4,79,27,16,49,49,21,124,183,23
충청남도,서산시,30,4,15,1464,63,107,1184,53,106,3918,663,621
충청남도,서천군,4,4,7,67,70,25,72,64,31,94,102,36
충청남도,아산시,19,19,21,664,294,258,815,289,204,4023,1227,805
충청남도,예산군,8,4,13,49,40,189,84,41,186,112,112,430
충청남도,천안시 동남구,9,10,19,106,88,217,151,112,215,438,204,573
충청남도,천안시 서북구,14,12,16,272,321,254,276,306,251,1394,1511,1172
충청남도,청양군,2,3,1,23,30,5,33,42,4,90,69,6
충청남도,태안군,2,1,2,182,4,6,207,13,10,318,17,10
충청남도,홍성군,1,5,7,7,130,56,4,154,59,7,312,105
충청북도,괴산군,1,5,3,1,31,23,3,34,41,1,52,62
충청북도,단양군,8,6,2,356,37,4,402,50,5,637,96,13
충청북도,보은군,1,4,1,1,181,22,5,133,21,2,412,42
충청북도,영동군,3,6,4,42,68,18,54,79,21,93,265,22
충청북도,옥천군,1,3,0,1,31,0,3,32,0,1,50,0
충청북도,음성군,9,17,29,189,223,353,197,225,335,503,683,939
충청북도,제천시,2,3,6,89,36,36,95,25,40,120,42,64
충청북도,증평군,3,2,3,84,49,51,67,38,30,236,144,144
충청북도,진천군,6,16,21,254,410,233,363,265,216,1128,1077,1103
충청북도,청주시 상당구,1,0,0,77,0,0,97,0,0,318,0,0
충청북도,청주시 서원구,2,2,2,42,10,18,29,11,36,73,12,94
충청북도,청주시 청원구,5,9,9,48,128,156,74,104,164,308,706,1210
충청북도,청주시 흥덕구,22,29,22,1197,630,304,882,452,253,7615,2019,1033
충청북도,충주시,9,15,19,138,308,212,103,293,197,320,1183,549
